Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,OddsAvgH,OddsAvgD,OddsAvgA,Stagione,HTHG,HTAG,B365H,B365D,B365A,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,PSH,PSD,PSA
1993-08-29,Atalanta,Cagliari,5.0,2.0,H,,,,1993,,,,,,,,,,,,,,,,,,
1993-08-29,Genoa,Roma,2.0,0.0,H,,,,1993,,,,,,,,,,,,,,,,,,
1993-08-29,Inter,Reggiana,2.0,1.0,H,,,,1993,,,,,,,,,,,,,,,,,,
1993-08-29,Juventus,Cremonese,1.0,0.0,H,,,,1993,,,,,,,,,,,,,,,,,,
1993-08-29,Lazio,Foggia,0.0,0.0,D,,,,1993,,,,,,,,,,,,,,,,,,
1993-08-29,Lecce,Milan,0.0,1.0,A,,,,1993,,,,,,,,,,,,,,,,,,
1993-08-29,Napoli,Sampdoria,1.0,2.0,A,,,,1993,,,,,,,,,,,,,,,,,,
1993-08-29,Piacenza,Torino,0.0,3.0,A,,,,1993,,,,,,,,,,,,,,,,,,
1993-08-29,Udinese,Parma,0.0,1.0,A,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-05,Cagliari,Udinese,1.0,2.0,A,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-05,Cremonese,Napoli,2.0,0.0,H,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-05,Foggia,Inter,1.0,1.0,D,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-05,Milan,Genoa,1.0,0.0,H,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-05,Parma,Lecce,1.0,0.0,H,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-05,Reggiana,Lazio,0.0,0.0,D,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-05,Roma,Juventus,2.0,1.0,H,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-05,Sampdoria,Piacenza,2.0,1.0,H,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-05,Torino,Atalanta,2.0,1.0,H,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-08,Atalanta,Reggiana,2.0,1.0,H,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-08,Genoa,Cagliari,1.0,1.0,D,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-08,Inter,Cremonese,2.0,1.0,H,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-08,Juventus,Sampdoria,3.0,1.0,H,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-08,Lazio,Parma,2.0,1.0,H,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-08,Lecce,Foggia,0.0,2.0,A,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-08,Napoli,Torino,0.0,0.0,D,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-08,Piacenza,Milan,0.0,0.0,D,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-08,Udinese,Roma,0.0,0.0,D,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-12,Cagliari,Inter,1.0,0.0,H,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-12,Cremonese,Lazio,1.0,0.0,H,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-12,Foggia,Juventus,1.0,1.0,D,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-12,Milan,Atalanta,2.0,0.0,H,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-12,Parma,Genoa,2.0,1.0,H,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-12,Reggiana,Piacenza,1.0,1.0,D,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-12,Roma,Napoli,2.0,3.0,A,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-12,Sampdoria,Lecce,2.0,1.0,H,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-12,Torino,Udinese,1.0,0.0,H,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-19,Atalanta,Cremonese,0.0,0.0,D,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-19,Foggia,Cagliari,0.0,1.0,A,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-19,Genoa,Napoli,0.0,0.0,D,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-19,Juventus,Reggiana,4.0,0.0,H,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-19,Lazio,Inter,0.0,0.0,D,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-19,Milan,Roma,2.0,0.0,H,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-19,Parma,Torino,3.0,0.0,H,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-19,Piacenza,Lecce,2.0,1.0,H,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-19,Udinese,Sampdoria,0.0,2.0,A,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-26,Cagliari,Lazio,4.0,1.0,H,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-26,Cremonese,Milan,0.0,2.0,A,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-26,Inter,Piacenza,2.0,0.0,H,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-26,Lecce,Juventus,1.0,1.0,D,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-26,Napoli,Udinese,2.0,1.0,H,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-26,Reggiana,Foggia,0.0,0.0,D,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-26,Roma,Atalanta,2.0,1.0,H,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-26,Sampdoria,Parma,1.0,1.0,D,,,,1993,,,,,,,,,,,,,,,,,,
1993-09-26,Torino,Genoa,2.0,0.0,H,,,,1993,,,,,,,,,,,,,,,,,,
1993-10-03,Atalanta,Sampdoria,1.0,4.0,A,,,,1993,,,,,,,,,,,,,,,,,,
1993-10-03,Genoa,Reggiana,0.0,0.0,D,,,,1993,,,,,,,,,,,,,,,,,,
1993-10-03,Juventus,Torino,3.0,2.0,H,,,,1993,,,,,,,,,,,,,,,,,,
1993-10-03,Milan,Lazio,0.0,0.0,D,,,,1993,,,,,,,,,,,,,,,,,,
1993-10-03,Napoli,Inter,0.0,0.0,D,,,,1993,,,,,,,,,,,,,,,,,,
1993-10-03,Parma,Foggia,3.0,0.0,H,,,,1993,,,,,,,,,,,,,,,,,,
1993-10-03,Piacenza,Cagliari,1.0,1.0,D,,,,1993,,,,,,,,,,,,,,,,,,
1993-10-03,Roma,Cremonese,1.0,2.0,A,,,,1993,,,,,,,,,,,,,,,,,,
1993-10-03,Udinese,Lecce,2.0,1.0,H,,,,1993,,,,,,,,,,,,,,,,,,
1993-10-17,Cagliari,Napoli,1.0,2.0,A,,,,1993,,,,,,,,,,,,,,,,,,
1993-10-17,Cremonese,Parma,0.0,0.0,D,,,,1993,,,,,,,,,,,,,,,,,,
1993-10-17,Foggia,Milan,1.0,1.0,D,,,,1993,,,,,,,,,,,,,,,,,,
1993-10-17,Inter,Torino,0.0,0.0,D,,,,1993,,,,,,,,,,,,,,,,,,
1993-10-17,Juventus,Atalanta,2.0,1.0,H,,,,1993,,,,,,,,,,,,,,,,,,
1993-10-17,Lazio,Piacenza,1.0,0.0,H,,,,1993,,,,,,,,,,,,,,,,,,
1993-10-17,Lecce,Genoa,0.0,0.0,D,,,,1993,,,,,,,,,,,,,,,,,,
1993-10-17,Reggiana,Udinese,1.0,1.0,D,,,,1993,,,,,,,,,,,,,,,,,,
1993-10-17,Sampdoria,Roma,0.0,1.0,A,,,,1993,,,,,,,,,,,,,,,,,,
1993-10-24,Atalanta,Foggia,1.0,1.0,D,,,,1993,,,,,,,,,,,,,,,,,,
1993-10-24,Cremonese,Cagliari,3.0,1.0,H,,,,1993,,,,,,,,,,,,,,,,,,
